subcategory,target_word,reference_best_human_cue,final_generated_cue,proxy_score,manual_label,notes
動作,上廁所,會坐/蹲在馬桶上執行動作,在離馬桶稍遠的地方準備好紙巾和毛巾，然後輕,0.6614503971167973,,
休閒娛樂,下象棋,需要理解不同棋子的移動規則才能下得好,盤上落子，棋局起始，靜候勝負爭奪,0.6722826778888702,,
輔具,假牙,剛戴上時可能會有異物感,,0.0,,
生活用品,傘,"用完後要晾乾,不然會發霉","需要防風防水,方便攜帶出行",0.5016423612833023,,
娛樂場所,公園,適合散步、慢跑的區域,遊樂區有秋千和沙坑，小朋友們愛玩其中,0.6274588882923127,,
交通工具,公車,票價便宜,上車後，找到自己的座位，系好安全帶,0.4981353342533111,,
食物,冰淇淋,吃起來冰涼黏稠,,0.0,,
電器用品,冰箱,"長方形,有兩個門",冷風、冷藏、旋轉、放置桌上,0.5769817024469375,,
電器用品,冷氣,開27度可以環保愛地球,,0.0,,
動作,刷牙,正確的XX方式是由上往下、由內到外,,0.0,,
動作,削水果,通常使用在蘋果、梨子、棗子等較硬的果皮上,切開水果，準備飲食時,0.7546607732772826,,
生活用品,剪刀,大部分是塑膠手柄,"需要定期磨損,保持鋒利",0.5414675593376159,,
動作,剪指甲,需要使用專門的小工具,早晨起床後，先整理床鋪，再修剪手指甲,0.5640112578868866,,
輔具,助聽器,需要定期更換電池或充電,需要定期調整音量調節旋鈕或連接線,0.5901486217975616,,
文具,原子筆,按一下或轉一下可推出筆芯,輕輕一按，啟動智慧靈感,0.7399741053581237,,
餐具,叉子,兒童款的XX會比較圓潤,,0.0,,
動作,吃飯,一天三餐,早晨起床後，準備早餐，開始新的一天,0.6516227424144745,,
食物,吐司,拉肚子的時候會吃的,一種薄脆的面包片，通常搭配奶油或果酱食用,0.6618627548217773,,
電器用品,吸塵器,分為無線與有線兩種,旋轉手柄、吸盤、地面,0.4504341214895248,,
電器用品,吹風機,"部分有折疊設計,方便攜帶",夏天，厨房，挂牆，吹乾頭髮,0.528681218624115,,
動作,咳嗽,會泡陳皮和柿餅茶來緩解症狀,咳嗚聲在喉嚨裡響起，開始了清嗓,0.4722803741693496,,
休閒娛樂,唱歌,"有時會搭配樂器,如吉他、鋼琴或卡拉OK伴奏",在空蕩的房間裡唱著歌，讓心情更加愉快,0.5988388448953628,,
動作,喝水,有些人會加入檸檬等來增加味道,早晨起床後，先喝杯水，再開始新的一天,0.5585716307163238,,
學校,圖書館,有電腦可以查詢館藏資料,在學校裡有一個地方供學生借閱書籍，那兒通常,0.5503944507666996,,
食物,地瓜球,"用紙袋裝,用竹籤戳著吃",一種圓形的小球狀食品,0.6590054631233215,,
動作,寫字,學生上課時經常做的事情,拿起筆，在紙上寫下自己的想法,0.5461533725261688,,
服飾&配件,帽子,冬天的款式有時會加內襯,,0.0,,
家具,床,"有收納空間,底下可以放東西",,0.0,,
電器用品,手機,耳機、充電線、網路,,0.0,,
動作,打噴嚏,生病時會更頻繁發生,早晨起床時，突然發出清脆的聲音,0.5118246912956237,,
休閒娛樂,打拳,XX能提升身體平衡感,在公園裡揮舞手臂，感受風和陽光,0.4572303280234336,,
動作,拍照,光線、角度和背景會影響結果,拍下全家福，留下美好記憶,0.3803587839007377,,
輔具,拐杖,有標準型、四腳型或摺疊款式,需要定期檢查和調節松緊程度,0.5596450448036194,,
動作,掃地,"搭配拖地效果更好,讓地板變得更潔淨",早晨起床後，拖把開始工作，清理地板,0.7272448003292084,,
電器用品,插座,通電,插電、放在桌上、廚房常見,0.6356232106685638,,
交通工具,摩托車,需要加汽油或電力才能運行,騎行在城市街道上，感受風吹拂臉頰,0.4216823995113372,,
動作,摺衣服,有些人會用專門的板子來幫助摺整齊,整理衣物，準備上床,0.5130686700344085,,
運動場所,操場,"有些設有夜間照明,方便晚間運動",,0.0,,
動作,擦桌子,在餐廳、學校、辦公室都很常見,在用餐後，將桌布收起，準備清理桌面,0.5289288252592086,,
動作,擦汗,用力過大可能會讓皮膚泛紅,在洗澡時，擦拭身上的汗水,0.5639159411191941,,
動作,擦眼鏡,太用力可能會導致損壞,早晨起床後，先檢查鏡子，再擦拭眼鏡,0.3334790367633104,,
休閒娛樂,散步,"天氣涼爽時會更舒服,避免烈日或下雨天",,0.0,,
生活用品,杯子,有圓形的開口,"需要隨時喝水,保持水分",0.45396349132061,,
家具,桌子,吃飯時大家會圍著它坐下來,圍桌而坐，共進餐食,0.8156093478202819,,
生活用品,毛巾,"需要定期清洗,避免細菌孳生","需要定期晾曬,防止霉變",0.8345391869544982,,
食物,水餃,"麵皮包著內餡,冷凍儲存",一種皮薄馅大的食物,0.7880692899227142,,
交通工具,汽車,需要加油才能行駛,需要車道才能行駛,0.7052428781986236,,
休閒娛樂,泡茶,選擇合適的茶具與水質,將水倒入茶壺，加入紅茶包和糖，輕輕,0.8636107802391051,,
動作,洗澡,讓身體保持乾淨清新的動作,早晨洗漱後，感覺更清爽,0.7294070661067962,,
電器用品,洗衣機,會外接一根水管,幫忙晾衣服、放桌上,0.4942529439926147,,
生活用品,洗髮精,"有些標榜無矽靈,適合細軟髮或敏感頭皮","需要定期使用,保持頭髮健康",0.5956814587116241,,
運動場所,游泳池,比賽泳道通常是 50 公尺長,在陽光下嬉戲，水中暢游,0.4600153550505638,,
餐具,湯匙,"嬰兒用的特別小,邊緣圓滑,方便餵食",使用時輕拿輕放，保持平穩,0.5672020435333252,,
食物,湯圓,一種由糯米粉製成的食品,一種甜而不咸的小圓形食品,0.8181762039661407,,
食物,漢堡,西式餐點,一種肉質鮮嫩多汁的食物,0.8190345764160156,,
交通工具,火車,"需要購票搭乘,有分自由座和對號座",需要購票才能登車,0.8817135393619537,,
食物,火鍋,冬天或聚會時特別受歡迎,一種熱辣美味的鍋物,0.4342898309230804,,
電器用品,烤箱,預熱、定時、溫度調整,爐子、放餐盤、做蛋糕,0.5041096866130829,,
動作,煮飯,要使用各種食材、廚具和調味料,早晨起床後，準備早餐，開始新的一天,0.4871541082859039,,
電器用品,熱水瓶,煮沸後會跳起來,蓋上蓋子，倒滿冷水，開始煮沸,0.9067370176315308,,
生活用品,牙刷,"要定期更換,不然毛會變形","需要定期更新,保持衛生",0.6379378288984299,,
動物,牛,可做成肉乾食用,有頭、有角、黑白相間，常在田間地頭,0.4711848363280296,,
食物,牛肉麵,台灣特色小吃,一種紅色、長條形、略帶彈性的主食,0.6845373392105103,,
動物,狗,很多人家裡會養的動物,汪汪叫，跑在田野上，主人家裡會養,0.6371250599622726,,
喝,珍珠奶茶,自備飲料杯-5元,,0.0,,
電器用品,瓦斯爐,鍋子、鍋鏟,火鍋、調味料、煮飯,0.7369191288948058,,
休閒娛樂,登山,"有可能會碰到熊,要有防熊噴霧",在山頂遠眺，感受風景無比壯闊,0.3643095597624778,,
休閒娛樂,看書,會用手翻頁或摺角作為書籤,,0.0,,
休閒娛樂,看電視,用遙控器來切換頻道或調整音量,,0.0,,
生活用品,眼鏡,"造型有圓的、方的,也有無框的",需要保護眼睛免受疲勞,0.4246742278337478,,
動作,睡覺,"適當的時間內完成這件事,有助於健康",早晨起床後，先換衣再洗漱,0.5358734726905823,,
廚房用品,砧板,"表面平整,不會卡住食材或殘渣",使用時保持平穩，輕輕敲打,0.6387135267257691,,
餐具,碗,可以是陶瓷、不鏽鋼、塑膠或木頭材質製成的,,0.0,,
動作,穿衣服,可以做不同的搭配,早晨起床後，整理床鋪，準備開始新的一天,0.4210072129964828,,
動作,穿鞋子,"如果穿錯腳,會覺得不舒服",穿上鞋跟，開始新的一天,0.5783614695072175,,
食物,米,煮後變軟可食用,一種由稻穀磨碎後加水蒸煮而成的主食,0.7567857384681701,,
調味,糖,吃太多對胰臟不好,甜美的白色塊狀物，常被放入食物中增添味道,0.5015829056501389,,
喝,紅茶,飲料店有在賣,飲料店裡有售红茶,0.8243618011474609,,
動作,綁鞋帶,小朋友通常需要學習怎麼綁,早晨起床後，準備好鞋子，將鞋帶打結,0.4613420188426971,,
動作,綁頭髮,需要使用特定的工具來固定,早晨起床後，梳洗打扮，整理髮型,0.4511975109577179,,
動作,聊天,在家裡、工作場合、咖啡廳等都很常見,準備與家人朋友交流，分享今天的好消息,0.4134176284074783,,
交通工具,自行車,運動或代步皆適合,騎行方便，速度快，適合短途出行,0.6841087579727172,,
水果,芒果,帶有濃郁的甜香氣味,帶有鮮艷黃色外皮和橙色斑點,0.6492789179086684,,
水果,草莓,有綠色的蒂頭,帶有鮮艷紅色外皮和小巧圓潤形狀,0.6125243842601775,,
廚房用品,菜刀,有中式、西式、切水果等種類,使用時注意手勢和切割角度，確保安全與效果,0.3911688089370727,,
水果,葡萄,它的籽可以榨成油,它的皮薄而多汁，常見於夏季餐桌上,0.5031906694173813,,
醫療場所,藥局,有些會提供血壓量測和領取口罩等服務,詢問失語症患者通常會使用哪些具體的語意提示,0.5276302448340824,,
輔具,藥盒,有些時間到會發出聲音或震動,需要定期檢查密封性，保持藥物干凈,0.4047156184911727,,
水果,蘋果,可能會打蠟,會在手中形成一個圓形,0.6163574576377868,,
食物,蛋糕,作為點心、非正餐,一種由面粉和糖製作的甜品,0.5924661606550217,,
食物,蛋餅,有人會加醬油、胡椒鹽,一種薄而脆的餅乾，通常搭配咸味或甜味的,0.654544997215271,,
生活用品,衛生紙,質地柔軟,"需要隨時備份,保持乾淨",0.5106938242912292,,
服飾&配件,衣服,"冬天穿太少會冷,夏天穿太多會熱",冬天穿厚點保暖，夏天少穿露腳趾,0.905982744693756,,
家具,衣櫃,有木製、塑膠、金屬等材質,,0.0,,
服飾&配件,襪子,棉或毛的材質,冬天穿太多會累，夏天穿太少會熱,0.400545348227024,,
輔具,護膝,適合冬天或關節炎患者使用,適合行走不便或活動受限的人群使用,0.5616590678691864,,
喝,豆漿,可以加糖更好喝,,0.0,,
食物,豆腐,可煎、炸、燉、炒,一種由黄豆製成的塊狀食品,0.7296882390975952,,
食物,豆花,一種用黃豆製成的甜點,一種由大豆製成的冷飲，通常搭配冰糖和薄荷,0.741190755367279,,
動物,豬,可做成肉乾食用,有時會拱背，有時會哼唧，喜歡在田間,0.5197626650333405,,
動物,貓,"有時很黏人,有時愛獨處,個性多變","有時很黏人,有時愛獨處,個性多變",1.0,,
休閒娛樂,購物,節日會推出促銷活動吸引客人,在超市裡逛逛，看看你想買什麼,0.5722258567810059,,
休閒娛樂,跳舞,與拍手、踩腳或轉圈的動作結合,在空曠場地隨意扭轉身體，與同伴互動，,0.6559321284294128,,
輔具,輪椅,"某些款式可折疊,方便攜帶或存放",使用時調整座位高度，確保坐姿舒適,0.6656587779521942,,
金融機構,郵局,有些人會來這裡繳水電費或其他帳單,透過信件和金錢交易，提供收發服務,0.6278626859188079,,
醫療場所,醫院,設有內科、外科、婦產科、小兒科等不同科別,詢問失語症患者通常會使用哪些具體的語意提示,0.4152347004839352,,
動作,量體溫,需要使用特定的測量工具,正確地測量自己的體溫，確保健康,0.64089375436306,,
廚房用品,鍋子,料理方式不同也需不同種類,使用時注意清洗，保持鍋內乾淨,0.5752392351627349,,
家具,鏡子,"用久會變髒,需要擦拭才能更清晰",,0.0,,
動作,開門,"轉動把手,讓進出口變暢通的動作",,0.0,,
電器用品,除濕機,會吹出熱熱的風,冷風直吹，除濕效果佳,0.8423926711082459,,
動物,雞,"吃穀物、蟲子,有時候也會啄地上的食物",家禽，喜欢吃谷粒和虫子，有时候也会在地面上啄,0.8481150247833945,,
食物,雞排,吃起來香脆多汁,一種外觀呈片狀、金黃色的食品,0.6909828305244445,,
娛樂場所,電影院,放映前會播預告片,,0.0,,
電器用品,電燈,會連接開關,壁挂式、暖光、晚上使用,0.5693365842103958,,
電器用品,電視,阿嬤打開XX,視窗、安裝孔、顯示屏,0.519726887345314,,
電器用品,電話,有回撥功能,手柄、連接線、插座,0.6561771690845489,,
電器用品,電鍋,內鍋、外鍋、加熱板、保溫開關,煮飯、加熱食物、炊事工具,0.8404630124568939,,
電器用品,電風扇,插電後即可使用,吹風、清潔、擺放桌面,0.7242178201675415,,
食物,飯糰,常作為早餐食用,一種由大米製成的主食,0.5438234210014343,,
水果,香蕉,台灣的旗山種很多,皮膚光滑，黃色外觀，常成串販售,0.3784247234463691,,
交通工具,高鐵,"透過電力驅動,行駛於專用軌道上",需要刷卡才能進站,0.5114225417375564,,
水果,鳳梨,切開後有特殊香氣,帶有鮮艷的黃色外皮,0.6444742351770401,,
調味,鹽,在古代是非常珍貴的物品,,0.0,,
食物,麵,由小麥製成的主食,一種由小麥製成的主食,0.991003131866455,,
