pos,main_category,subcategory,target_word,cue_text,score_lin,score_wang,score_chiu,score_mean,score_std,cue_length_chars,cue_rank_within_word
名詞,地點,交通場所,機場,內部有免稅商店和餐廳,5.0,6.0,6.0,5.666666666666667,0.5773502691896258,10,1
名詞,日常起居,交通工具,摩托車,需要加汽油或電力才能運行,6.0,6.0,5.0,5.666666666666667,0.5773502691896258,12,1
名詞,日常起居,交通工具,汽車,需要加油才能行駛,6.0,5.0,5.0,5.333333333333333,0.5773502691896258,8,1
名詞,日常起居,交通工具,自行車,運動或代步皆適合,5.0,5.0,5.0,5.0,0.0,8,1
名詞,日常起居,交通工具,高鐵,"透過電力驅動,行駛於專用軌道上",4.0,6.0,5.0,5.0,1.0,15,1
名詞,日常起居,交通工具,公車,票價便宜,5.0,5.0,4.0,4.666666666666667,0.5773502691896258,4,1
動詞,日常活動,休閒娛樂,購物,節日會推出促銷活動吸引客人,6.0,6.0,5.0,5.666666666666667,0.5773502691896258,13,1
動詞,日常活動,休閒娛樂,唱歌,"有時會搭配樂器,如吉他、鋼琴或卡拉OK伴奏",5.0,6.0,6.0,5.666666666666667,0.5773502691896258,21,1
動詞,日常活動,休閒娛樂,看書,會用手翻頁或摺角作為書籤,6.0,6.0,4.0,5.333333333333333,1.1547005383792517,12,1
動詞,日常活動,休閒娛樂,登山,"有可能會碰到熊,要有防熊噴霧",5.0,5.0,6.0,5.333333333333333,0.5773502691896258,14,1
動詞,日常活動,休閒娛樂,跳舞,與拍手、踩腳或轉圈的動作結合,5.0,5.0,6.0,5.333333333333333,0.5773502691896258,14,1
動詞,日常行為,動作,擦桌子,在餐廳、學校、辦公室都很常見,6.0,6.0,6.0,6.0,0.0,14,1
動詞,日常行為,動作,睡覺,"適當的時間內完成這件事,有助於健康",6.0,6.0,6.0,6.0,0.0,17,1
動詞,日常行為,動作,穿衣服,可以做不同的搭配,5.0,6.0,6.0,5.666666666666667,0.5773502691896258,8,1
動詞,日常行為,動作,喝水,有些人會加入檸檬等來增加味道,6.0,6.0,5.0,5.666666666666667,0.5773502691896258,14,1
動詞,日常行為,動作,吃飯,一天三餐,6.0,5.0,5.0,5.333333333333333,0.5773502691896258,4,1
名詞,自然環境,動物,牛,可做成肉乾食用,6.0,6.0,6.0,6.0,0.0,7,1
名詞,自然環境,動物,貓,"有時很黏人,有時愛獨處,個性多變",6.0,6.0,4.0,5.333333333333333,1.1547005383792517,16,1
名詞,自然環境,動物,雞,"吃穀物、蟲子,有時候也會啄地上的食物",6.0,5.0,5.0,5.333333333333333,0.5773502691896258,18,1
名詞,自然環境,動物,豬,可做成肉乾食用,4.0,6.0,4.0,4.666666666666667,1.1547005383792517,7,1
名詞,自然環境,動物,狗,很多人家裡會養的動物,4.0,5.0,5.0,4.666666666666667,0.5773502691896258,10,1
名詞,日常飲食,喝,珍珠奶茶,自備飲料杯-5元,6.0,6.0,6.0,6.0,0.0,8,1
名詞,日常飲食,喝,豆漿,可以加糖更好喝,5.0,3.0,5.0,4.333333333333333,1.1547005383792517,7,1
名詞,日常飲食,喝,紅茶,飲料店有在賣,1.0,5.0,6.0,4.0,2.6457513110645907,6,1
名詞,地點,娛樂場所,電影院,放映前會播預告片,4.0,6.0,5.0,5.0,1.0,8,1
名詞,地點,娛樂場所,公園,適合散步、慢跑的區域,6.0,6.0,3.0,5.0,1.7320508075688772,10,1
名詞,地點,學校,圖書館,有電腦可以查詢館藏資料,5.0,5.0,6.0,5.333333333333333,0.5773502691896258,11,1
名詞,日常起居,家具,衣櫃,有木製、塑膠、金屬等材質,6.0,6.0,6.0,6.0,0.0,12,1
名詞,日常起居,家具,鏡子,"用久會變髒,需要擦拭才能更清晰",6.0,6.0,6.0,6.0,0.0,15,1
名詞,日常起居,家具,床,"有收納空間,底下可以放東西",4.0,6.0,6.0,5.333333333333333,1.1547005383792517,13,1
名詞,日常起居,家具,桌子,吃飯時大家會圍著它坐下來,6.0,2.0,5.0,4.333333333333333,2.0816659994661326,12,1
名詞,日常起居,廚房用品,鍋子,料理方式不同也需不同種類,6.0,6.0,6.0,6.0,0.0,12,1
名詞,日常起居,廚房用品,砧板,"表面平整,不會卡住食材或殘渣",6.0,6.0,5.0,5.666666666666667,0.5773502691896258,14,1
名詞,日常起居,廚房用品,菜刀,有中式、西式、切水果等種類,5.0,6.0,5.0,5.333333333333333,0.5773502691896258,13,1
名詞,日常起居,文具,原子筆,按一下或轉一下可推出筆芯,5.0,5.0,6.0,5.333333333333333,0.5773502691896258,12,1
名詞,日常起居,服飾&配件,帽子,冬天的款式有時會加內襯,6.0,6.0,6.0,6.0,0.0,11,1
名詞,日常起居,服飾&配件,衣服,"冬天穿太少會冷,夏天穿太多會熱",6.0,6.0,6.0,6.0,0.0,15,1
名詞,日常起居,服飾&配件,襪子,棉或毛的材質,5.0,6.0,5.0,5.333333333333333,0.5773502691896258,6,1
名詞,日常飲食,水果,鳳梨,切開後有特殊香氣,6.0,6.0,6.0,6.0,0.0,8,1
名詞,日常飲食,水果,芒果,帶有濃郁的甜香氣味,6.0,4.0,6.0,5.333333333333333,1.1547005383792517,9,1
名詞,日常飲食,水果,蘋果,可能會打蠟,5.0,5.0,5.0,5.0,0.0,5,1
名詞,日常飲食,水果,草莓,有綠色的蒂頭,5.0,4.0,6.0,5.0,1.0,6,1
名詞,日常飲食,水果,葡萄,它的籽可以榨成油,5.0,3.0,6.0,4.666666666666667,1.5275252316519463,8,1
名詞,日常起居,生活用品,衛生紙,質地柔軟,6.0,6.0,6.0,6.0,0.0,4,1
名詞,日常起居,生活用品,毛巾,"需要定期清洗,避免細菌孳生",6.0,6.0,6.0,6.0,0.0,13,1
名詞,日常起居,生活用品,杯子,有圓形的開口,5.0,6.0,6.0,5.666666666666667,0.5773502691896258,6,1
名詞,日常起居,生活用品,傘,"用完後要晾乾,不然會發霉",6.0,6.0,5.0,5.666666666666667,0.5773502691896258,12,1
名詞,日常起居,生活用品,牙刷,"要定期更換,不然毛會變形",6.0,6.0,5.0,5.666666666666667,0.5773502691896258,12,1
名詞,日常飲食,蔬菜,白蘿蔔,冬天產季的特別甜,5.0,4.0,6.0,5.0,1.0,8,1
名詞,日常飲食,蔬菜,青椒,內部有籽和白色的膜,6.0,2.0,6.0,4.666666666666667,2.309401076758503,9,1
名詞,日常起居,調味,糖,吃太多對胰臟不好,5.0,6.0,6.0,5.666666666666667,0.5773502691896258,8,1
名詞,日常起居,調味,鹽,在古代是非常珍貴的物品,5.0,6.0,6.0,5.666666666666667,0.5773502691896258,11,1
名詞,地點,購物場所,超級市場,一般會播放輕音樂,6.0,6.0,6.0,6.0,0.0,8,1
名詞,地點,購物場所,菜市場,"肉攤師傅會熟練地切肉,依顧客需求分塊",6.0,5.0,6.0,5.666666666666667,0.5773502691896258,18,1
名詞,日常起居,輔具,假牙,剛戴上時可能會有異物感,6.0,6.0,6.0,6.0,0.0,11,1
名詞,日常起居,輔具,助聽器,需要定期更換電池或充電,5.0,6.0,6.0,5.666666666666667,0.5773502691896258,11,1
名詞,日常起居,輔具,藥盒,有些時間到會發出聲音或震動,5.0,6.0,6.0,5.666666666666667,0.5773502691896258,13,1
名詞,日常起居,輔具,輪椅,"某些款式可折疊,方便攜帶或存放",6.0,6.0,5.0,5.666666666666667,0.5773502691896258,15,1
名詞,日常起居,輔具,護膝,適合冬天或關節炎患者使用,5.0,5.0,6.0,5.333333333333333,0.5773502691896258,12,1
名詞,地點,運動場所,游泳池,比賽泳道通常是 50 公尺長,6.0,6.0,6.0,6.0,0.0,14,1
名詞,地點,運動場所,操場,"有些設有夜間照明,方便晚間運動",6.0,6.0,6.0,6.0,0.0,15,1
名詞,地點,醫療場所,醫院,設有內科、外科、婦產科、小兒科等不同科別,6.0,6.0,5.0,5.666666666666667,0.5773502691896258,20,1
名詞,地點,醫療場所,藥局,有些會提供血壓量測和領取口罩等服務,5.0,6.0,5.0,5.333333333333333,0.5773502691896258,17,1
名詞,地點,金融機構,郵局,有些人會來這裡繳水電費或其他帳單,5.0,6.0,6.0,5.666666666666667,0.5773502691896258,16,1
名詞,日常起居,電器用品,電燈,會連接開關,6.0,6.0,6.0,6.0,0.0,5,1
名詞,日常起居,電器用品,手機,耳機、充電線、網路,6.0,6.0,6.0,6.0,0.0,9,1
名詞,日常起居,電器用品,洗衣機,會外接一根水管,6.0,6.0,5.0,5.666666666666667,0.5773502691896258,7,1
名詞,日常起居,電器用品,吸塵器,分為無線與有線兩種,6.0,6.0,5.0,5.666666666666667,0.5773502691896258,9,1
名詞,日常起居,電器用品,冷氣,開27度可以環保愛地球,6.0,6.0,5.0,5.666666666666667,0.5773502691896258,11,1
名詞,日常飲食,食物,漢堡,西式餐點,5.0,6.0,6.0,5.666666666666667,0.5773502691896258,4,1
名詞,日常飲食,食物,湯圓,一種由糯米粉製成的食品,5.0,6.0,6.0,5.666666666666667,0.5773502691896258,11,1
名詞,日常飲食,食物,麵,由小麥製成的主食,6.0,5.0,5.0,5.333333333333333,0.5773502691896258,8,1
名詞,日常飲食,食物,地瓜球,"用紙袋裝,用竹籤戳著吃",6.0,5.0,5.0,5.333333333333333,0.5773502691896258,11,1
名詞,日常飲食,食物,冰淇淋,吃起來冰涼黏稠,5.0,5.0,5.0,5.0,0.0,7,1
名詞,日常起居,餐具,叉子,兒童款的XX會比較圓潤,6.0,6.0,5.0,5.666666666666667,0.5773502691896258,11,1
名詞,日常起居,餐具,湯匙,"嬰兒用的特別小,邊緣圓滑,方便餵食",5.0,6.0,6.0,5.666666666666667,0.5773502691896258,17,1
名詞,日常起居,餐具,碗,可以是陶瓷、不鏽鋼、塑膠或木頭材質製成的,6.0,6.0,5.0,5.666666666666667,0.5773502691896258,20,1
